date,marche,denree,unite,prix_gnf
2020-12-13,Conakry (Madina),huile,GNF/L,
2020-12-20,Conakry (Madina),huile,GNF/L,11303.0
2020-12-27,Conakry (Madina),huile,GNF/L,11360.0
2021-01-03,Conakry (Madina),huile,GNF/L,11032.0
2021-01-10,Conakry (Madina),huile,GNF/L,11281.0
2021-01-17,Conakry (Madina),huile,GNF/L,11291.0
2021-01-24,Conakry (Madina),huile,GNF/L,11649.0
2021-01-31,Conakry (Madina),huile,GNF/L,10935.0
2021-02-07,Conakry (Madina),huile,GNF/L,11057.0
2021-02-14,Conakry (Madina),huile,GNF/L,11236.0
2021-02-21,Conakry (Madina),huile,GNF/L,11174.0
2021-02-28,Conakry (Madina),huile,GNF/L,11099.0
2021-03-07,Conakry (Madina),huile,GNF/L,10665.0
2021-03-14,Conakry (Madina),huile,GNF/L,11388.0
2021-03-21,Conakry (Madina),huile,GNF/L,11746.0
2021-03-28,Conakry (Madina),huile,GNF/L,11663.0
2021-04-04,Conakry (Madina),huile,GNF/L,12354.0
2021-04-11,Conakry (Madina),huile,GNF/L,11963.0
2021-04-18,Conakry (Madina),huile,GNF/L,12300.0
2021-04-25,Conakry (Madina),huile,GNF/L,12132.0
2021-05-02,Conakry (Madina),huile,GNF/L,12242.0
2021-05-09,Conakry (Madina),huile,GNF/L,12075.0
2021-05-16,Conakry (Madina),huile,GNF/L,12674.0
2021-05-23,Conakry (Madina),huile,GNF/L,12252.0
2021-05-30,Conakry (Madina),huile,GNF/L,12238.0
2021-06-06,Conakry (Madina),huile,GNF/L,12545.0
2021-06-13,Conakry (Madina),huile,GNF/L,12444.0
2021-06-20,Conakry (Madina),huile,GNF/L,12382.0
2021-06-27,Conakry (Madina),huile,GNF/L,13010.0
2021-07-04,Conakry (Madina),huile,GNF/L,12440.0
2021-07-11,Conakry (Madina),huile,GNF/L,12421.0
2021-07-18,Conakry (Madina),huile,GNF/L,
2021-07-25,Conakry (Madina),huile,GNF/L,12854.0
2021-08-01,Conakry (Madina),huile,GNF/L,12361.0
2021-08-08,Conakry (Madina),huile,GNF/L,12125.0
2021-08-15,Conakry (Madina),huile,GNF/L,12758.0
2021-08-22,Conakry (Madina),huile,GNF/L,12058.0
2021-08-29,Conakry (Madina),huile,GNF/L,13028.0
2021-09-05,Conakry (Madina),huile,GNF/L,12627.0
2021-09-12,Conakry (Madina),huile,GNF/L,12705.0
2021-09-19,Conakry (Madina),huile,GNF/L,12126.0
2021-09-26,Conakry (Madina),huile,GNF/L,12063.0
2021-10-03,Conakry (Madina),huile,GNF/L,12248.0
2021-10-10,Conakry (Madina),huile,GNF/L,12130.0
2021-10-17,Conakry (Madina),huile,GNF/L,11878.0
2021-10-24,Conakry (Madina),huile,GNF/L,12052.0
2021-10-31,Conakry (Madina),huile,GNF/L,12652.0
2021-11-07,Conakry (Madina),huile,GNF/L,12040.0
2021-11-14,Conakry (Madina),huile,GNF/L,11966.0
2021-11-21,Conakry (Madina),huile,GNF/L,12161.0
2021-11-28,Conakry (Madina),huile,GNF/L,11986.0
2021-12-05,Conakry (Madina),huile,GNF/L,11855.0
2021-12-12,Conakry (Madina),huile,GNF/L,11494.0
2021-12-19,Conakry (Madina),huile,GNF/L,
2021-12-26,Conakry (Madina),huile,GNF/L,12410.0
2022-01-02,Conakry (Madina),huile,GNF/L,
2022-01-09,Conakry (Madina),huile,GNF/L,12312.0
2022-01-16,Conakry (Madina),huile,GNF/L,12275.0
2022-01-23,Conakry (Madina),huile,GNF/L,12947.0
2022-01-30,Conakry (Madina),huile,GNF/L,12723.0
2022-02-06,Conakry (Madina),huile,GNF/L,12922.0
2022-02-13,Conakry (Madina),huile,GNF/L,12773.0
2022-02-20,Conakry (Madina),huile,GNF/L,12764.0
2022-02-27,Conakry (Madina),huile,GNF/L,13181.0
2022-03-06,Conakry (Madina),huile,GNF/L,13129.0
2022-03-13,Conakry (Madina),huile,GNF/L,
2022-03-20,Conakry (Madina),huile,GNF/L,13827.0
2022-03-27,Conakry (Madina),huile,GNF/L,13826.0
2022-04-03,Conakry (Madina),huile,GNF/L,14156.0
2022-04-10,Conakry (Madina),huile,GNF/L,14660.0
2022-04-17,Conakry (Madina),huile,GNF/L,14972.0
2022-04-24,Conakry (Madina),huile,GNF/L,14512.0
2022-05-01,Conakry (Madina),huile,GNF/L,14526.0
2022-05-08,Conakry (Madina),huile,GNF/L,14955.0
2022-05-15,Conakry (Madina),huile,GNF/L,15283.0
2022-05-22,Conakry (Madina),huile,GNF/L,15330.0
2022-05-29,Conakry (Madina),huile,GNF/L,15704.0
2022-06-05,Conakry (Madina),huile,GNF/L,15500.0
2022-06-12,Conakry (Madina),huile,GNF/L,15358.0
2022-06-19,Conakry (Madina),huile,GNF/L,15577.0
2022-06-26,Conakry (Madina),huile,GNF/L,14806.0
2022-07-03,Conakry (Madina),huile,GNF/L,15016.0
2022-07-10,Conakry (Madina),huile,GNF/L,14968.0
2022-07-17,Conakry (Madina),huile,GNF/L,15274.0
2022-07-24,Conakry (Madina),huile,GNF/L,15246.0
2022-07-31,Conakry (Madina),huile,GNF/L,
2022-08-07,Conakry (Madina),huile,GNF/L,15509.0
2022-08-14,Conakry (Madina),huile,GNF/L,15115.0
2022-08-21,Conakry (Madina),huile,GNF/L,15250.0
2022-08-28,Conakry (Madina),huile,GNF/L,15369.0
2022-09-04,Conakry (Madina),huile,GNF/L,15245.0
2022-09-11,Conakry (Madina),huile,GNF/L,15545.0
2022-09-18,Conakry (Madina),huile,GNF/L,14872.0
2022-09-25,Conakry (Madina),huile,GNF/L,15033.0
2022-10-02,Conakry (Madina),huile,GNF/L,14823.0
2022-10-09,Conakry (Madina),huile,GNF/L,14265.0
2022-10-16,Conakry (Madina),huile,GNF/L,14160.0
2022-10-23,Conakry (Madina),huile,GNF/L,14867.0
2022-10-30,Conakry (Madina),huile,GNF/L,14846.0
2022-11-06,Conakry (Madina),huile,GNF/L,14689.0
2022-11-13,Conakry (Madina),huile,GNF/L,14314.0
2022-11-20,Conakry (Madina),huile,GNF/L,14688.0
2022-11-27,Conakry (Madina),huile,GNF/L,14137.0
2022-12-04,Conakry (Madina),huile,GNF/L,14899.0
2022-12-11,Conakry (Madina),huile,GNF/L,14772.0
2022-12-18,Conakry (Madina),huile,GNF/L,14570.0
2022-12-25,Conakry (Madina),huile,GNF/L,14918.0
2023-01-01,Conakry (Madina),huile,GNF/L,15256.0
2023-01-08,Conakry (Madina),huile,GNF/L,15290.0
2023-01-15,Conakry (Madina),huile,GNF/L,15577.0
2023-01-22,Conakry (Madina),huile,GNF/L,15263.0
2023-01-29,Conakry (Madina),huile,GNF/L,15605.0
2023-02-05,Conakry (Madina),huile,GNF/L,14203.0
2023-02-12,Conakry (Madina),huile,GNF/L,14060.0
2023-02-19,Conakry (Madina),huile,GNF/L,14191.0
2023-02-26,Conakry (Madina),huile,GNF/L,
2023-03-05,Conakry (Madina),huile,GNF/L,14727.0
2023-03-12,Conakry (Madina),huile,GNF/L,14578.0
2023-03-19,Conakry (Madina),huile,GNF/L,14215.0
2023-03-26,Conakry (Madina),huile,GNF/L,14839.0
2023-04-02,Conakry (Madina),huile,GNF/L,14567.0
2023-04-09,Conakry (Madina),huile,GNF/L,14964.0
2023-04-16,Conakry (Madina),huile,GNF/L,14563.0
2023-04-23,Conakry (Madina),huile,GNF/L,14707.0
2023-04-30,Conakry (Madina),huile,GNF/L,15101.0
2023-05-07,Conakry (Madina),huile,GNF/L,15194.0
2023-05-14,Conakry (Madina),huile,GNF/L,14934.0
2023-05-21,Conakry (Madina),huile,GNF/L,14970.0
2023-05-28,Conakry (Madina),huile,GNF/L,15277.0
2023-06-04,Conakry (Madina),huile,GNF/L,15122.0
2023-06-11,Conakry (Madina),huile,GNF/L,15018.0
2023-06-18,Conakry (Madina),huile,GNF/L,15352.0
2023-06-25,Conakry (Madina),huile,GNF/L,15973.0
2023-07-02,Conakry (Madina),huile,GNF/L,15550.0
2023-07-09,Conakry (Madina),huile,GNF/L,15777.0
2023-07-16,Conakry (Madina),huile,GNF/L,16178.0
2023-07-23,Conakry (Madina),huile,GNF/L,16381.0
2023-07-30,Conakry (Madina),huile,GNF/L,15663.0
2023-08-06,Conakry (Madina),huile,GNF/L,15677.0
2023-08-13,Conakry (Madina),huile,GNF/L,16145.0
2023-08-20,Conakry (Madina),huile,GNF/L,
2023-08-27,Conakry (Madina),huile,GNF/L,15907.0
2023-09-03,Conakry (Madina),huile,GNF/L,15438.0
2023-09-10,Conakry (Madina),huile,GNF/L,
2023-09-17,Conakry (Madina),huile,GNF/L,
2023-09-24,Conakry (Madina),huile,GNF/L,15142.0
2023-10-01,Conakry (Madina),huile,GNF/L,14851.0
2023-10-08,Conakry (Madina),huile,GNF/L,15193.0
2023-10-15,Conakry (Madina),huile,GNF/L,15429.0
2023-10-22,Conakry (Madina),huile,GNF/L,15513.0
2023-10-29,Conakry (Madina),huile,GNF/L,15303.0
2023-11-05,Conakry (Madina),huile,GNF/L,16244.0
2023-11-12,Conakry (Madina),huile,GNF/L,15956.0
2023-11-19,Conakry (Madina),huile,GNF/L,16355.0
2023-11-26,Conakry (Madina),huile,GNF/L,16765.0
2023-12-03,Conakry (Madina),huile,GNF/L,17009.0
2023-12-10,Conakry (Madina),huile,GNF/L,16164.0
2023-12-17,Conakry (Madina),huile,GNF/L,15949.0
2023-12-24,Conakry (Madina),huile,GNF/L,16294.0
2023-12-31,Conakry (Madina),huile,GNF/L,16448.0
2024-01-07,Conakry (Madina),huile,GNF/L,16290.0
2024-01-14,Conakry (Madina),huile,GNF/L,16397.0
2024-01-21,Conakry (Madina),huile,GNF/L,16924.0
2024-01-28,Conakry (Madina),huile,GNF/L,16462.0
2024-02-04,Conakry (Madina),huile,GNF/L,16531.0
2024-02-11,Conakry (Madina),huile,GNF/L,17268.0
2024-02-18,Conakry (Madina),huile,GNF/L,17480.0
2024-02-25,Conakry (Madina),huile,GNF/L,16810.0
2024-03-03,Conakry (Madina),huile,GNF/L,16368.0
2024-03-10,Conakry (Madina),huile,GNF/L,16286.0
2024-03-17,Conakry (Madina),huile,GNF/L,16843.0
2024-03-24,Conakry (Madina),huile,GNF/L,16829.0
2024-03-31,Conakry (Madina),huile,GNF/L,17300.0
2024-04-07,Conakry (Madina),huile,GNF/L,17071.0
2024-04-14,Conakry (Madina),huile,GNF/L,17444.0
2024-04-21,Conakry (Madina),huile,GNF/L,17280.0
2024-04-28,Conakry (Madina),huile,GNF/L,17273.0
2024-05-05,Conakry (Madina),huile,GNF/L,17187.0
2024-05-12,Conakry (Madina),huile,GNF/L,17215.0
2024-05-19,Conakry (Madina),huile,GNF/L,17121.0
2024-05-26,Conakry (Madina),huile,GNF/L,16824.0
2024-06-02,Conakry (Madina),huile,GNF/L,17378.0
2024-06-09,Conakry (Madina),huile,GNF/L,17460.0
2024-06-16,Conakry (Madina),huile,GNF/L,17499.0
2024-06-23,Conakry (Madina),huile,GNF/L,16945.0
2024-06-30,Conakry (Madina),huile,GNF/L,17617.0
2024-07-07,Conakry (Madina),huile,GNF/L,17089.0
2024-07-14,Conakry (Madina),huile,GNF/L,17816.0
2024-07-21,Conakry (Madina),huile,GNF/L,18137.0
2024-07-28,Conakry (Madina),huile,GNF/L,18223.0
2024-08-04,Conakry (Madina),huile,GNF/L,18178.0
2024-08-11,Conakry (Madina),huile,GNF/L,17131.0
2024-08-18,Conakry (Madina),huile,GNF/L,17347.0
2024-08-25,Conakry (Madina),huile,GNF/L,17139.0
2024-09-01,Conakry (Madina),huile,GNF/L,16984.0
2024-09-08,Conakry (Madina),huile,GNF/L,17048.0
2024-09-15,Conakry (Madina),huile,GNF/L,16960.0
2024-09-22,Conakry (Madina),huile,GNF/L,17408.0
2024-09-29,Conakry (Madina),huile,GNF/L,17640.0
2024-10-06,Conakry (Madina),huile,GNF/L,16993.0
2024-10-13,Conakry (Madina),huile,GNF/L,17327.0
2024-10-20,Conakry (Madina),huile,GNF/L,
2024-10-27,Conakry (Madina),huile,GNF/L,17223.0
2024-11-03,Conakry (Madina),huile,GNF/L,17177.0
2024-11-10,Conakry (Madina),huile,GNF/L,17633.0
2024-11-17,Conakry (Madina),huile,GNF/L,17484.0
2024-11-24,Conakry (Madina),huile,GNF/L,
2024-12-01,Conakry (Madina),huile,GNF/L,15787.0
2024-12-08,Conakry (Madina),huile,GNF/L,16578.0
2024-12-15,Conakry (Madina),huile,GNF/L,17302.0
2024-12-22,Conakry (Madina),huile,GNF/L,17136.0
2024-12-29,Conakry (Madina),huile,GNF/L,17627.0
2019-01-06,Kankan,huile,GNF/L,9619.0
2019-01-13,Kankan,huile,GNF/L,10078.0
2019-01-20,Kankan,huile,GNF/L,10265.0
2019-01-27,Kankan,huile,GNF/L,9757.0
2019-02-03,Kankan,huile,GNF/L,10035.0
2019-02-10,Kankan,huile,GNF/L,10108.0
2019-02-17,Kankan,huile,GNF/L,10040.0
2019-02-24,Kankan,huile,GNF/L,9970.0
2019-03-03,Kankan,huile,GNF/L,10197.0
2019-03-10,Kankan,huile,GNF/L,10336.0
2019-03-17,Kankan,huile,GNF/L,10205.0
2019-03-24,Kankan,huile,GNF/L,10625.0
2019-03-31,Kankan,huile,GNF/L,10126.0
2019-04-07,Kankan,huile,GNF/L,10940.0
2019-04-14,Kankan,huile,GNF/L,10547.0
2019-04-21,Kankan,huile,GNF/L,10557.0
2019-04-28,Kankan,huile,GNF/L,10359.0
2019-05-05,Kankan,huile,GNF/L,10344.0
2019-05-12,Kankan,huile,GNF/L,10583.0
2019-05-19,Kankan,huile,GNF/L,10468.0
2019-05-26,Kankan,huile,GNF/L,10748.0
2019-06-02,Kankan,huile,GNF/L,
2019-06-09,Kankan,huile,GNF/L,10908.0
2019-06-16,Kankan,huile,GNF/L,10623.0
2019-06-23,Kankan,huile,GNF/L,10903.0
2019-06-30,Kankan,huile,GNF/L,11022.0
2019-07-07,Kankan,huile,GNF/L,
2019-07-14,Kankan,huile,GNF/L,10923.0
2019-07-21,Kankan,huile,GNF/L,11643.0
2019-07-28,Kankan,huile,GNF/L,10887.0
2019-08-04,Kankan,huile,GNF/L,10688.0
2019-08-11,Kankan,huile,GNF/L,10860.0
2019-08-18,Kankan,huile,GNF/L,10915.0
2019-08-25,Kankan,huile,GNF/L,11099.0
2019-09-01,Kankan,huile,GNF/L,10979.0
2019-09-08,Kankan,huile,GNF/L,11090.0
2019-09-15,Kankan,huile,GNF/L,10886.0
2019-09-22,Kankan,huile,GNF/L,10654.0
2019-09-29,Kankan,huile,GNF/L,10693.0
2019-10-06,Kankan,huile,GNF/L,10136.0
2019-10-13,Kankan,huile,GNF/L,
2019-10-20,Kankan,huile,GNF/L,10369.0
2019-10-27,Kankan,huile,GNF/L,10797.0
2019-11-03,Kankan,huile,GNF/L,10567.0
2019-11-10,Kankan,huile,GNF/L,10584.0
2019-11-17,Kankan,huile,GNF/L,10662.0
2019-11-24,Kankan,huile,GNF/L,10587.0
2019-12-01,Kankan,huile,GNF/L,10364.0
2019-12-08,Kankan,huile,GNF/L,10913.0
2019-12-15,Kankan,huile,GNF/L,10656.0
2019-12-22,Kankan,huile,GNF/L,10772.0
2019-12-29,Kankan,huile,GNF/L,10699.0
2020-01-05,Kankan,huile,GNF/L,10683.0
2020-01-12,Kankan,huile,GNF/L,10739.0
2020-01-19,Kankan,huile,GNF/L,10687.0
2020-01-26,Kankan,huile,GNF/L,11021.0
2020-02-02,Kankan,huile,GNF/L,11054.0
2020-02-09,Kankan,huile,GNF/L,10959.0
2020-02-16,Kankan,huile,GNF/L,10899.0
2020-02-23,Kankan,huile,GNF/L,11298.0
2020-03-01,Kankan,huile,GNF/L,12180.0
2020-03-08,Kankan,huile,GNF/L,11854.0
2020-03-15,Kankan,huile,GNF/L,11862.0
2020-03-22,Kankan,huile,GNF/L,12006.0
2020-03-29,Kankan,huile,GNF/L,12165.0
2020-04-05,Kankan,huile,GNF/L,12098.0
2020-04-12,Kankan,huile,GNF/L,12275.0
2020-04-19,Kankan,huile,GNF/L,12382.0
2020-04-26,Kankan,huile,GNF/L,12076.0
2020-05-03,Kankan,huile,GNF/L,12234.0
2020-05-10,Kankan,huile,GNF/L,12611.0
2020-05-17,Kankan,huile,GNF/L,12371.0
2020-05-24,Kankan,huile,GNF/L,12392.0
2020-05-31,Kankan,huile,GNF/L,13202.0
2020-06-07,Kankan,huile,GNF/L,13128.0
2020-06-14,Kankan,huile,GNF/L,13459.0
2020-06-21,Kankan,huile,GNF/L,
2020-06-28,Kankan,huile,GNF/L,12891.0
2020-07-05,Kankan,huile,GNF/L,13190.0
2020-07-12,Kankan,huile,GNF/L,13053.0
2020-07-19,Kankan,huile,GNF/L,13413.0
2020-07-26,Kankan,huile,GNF/L,12897.0
2020-08-02,Kankan,huile,GNF/L,13042.0
2020-08-09,Kankan,huile,GNF/L,12981.0
2020-08-16,Kankan,huile,GNF/L,13225.0
2020-08-23,Kankan,huile,GNF/L,12776.0
2020-08-30,Kankan,huile,GNF/L,13220.0
2020-09-06,Kankan,huile,GNF/L,13100.0
2020-09-13,Kankan,huile,GNF/L,12635.0
2020-09-20,Kankan,huile,GNF/L,12462.0
2020-09-27,Kankan,huile,GNF/L,12722.0
2020-10-04,Kankan,huile,GNF/L,12179.0
2020-10-11,Kankan,huile,GNF/L,12203.0
2020-10-18,Kankan,huile,GNF/L,12046.0
2020-10-25,Kankan,huile,GNF/L,11594.0
2020-11-01,Kankan,huile,GNF/L,11507.0
2020-11-08,Kankan,huile,GNF/L,12009.0
2020-11-15,Kankan,huile,GNF/L,12088.0
2020-11-22,Kankan,huile,GNF/L,11737.0
2020-11-29,Kankan,huile,GNF/L,12085.0
2020-12-06,Kankan,huile,GNF/L,11950.0
2020-12-13,Kankan,huile,GNF/L,11646.0
2020-12-20,Kankan,huile,GNF/L,12189.0
2020-12-27,Kankan,huile,GNF/L,12679.0
2021-01-03,Kankan,huile,GNF/L,12099.0
2021-01-10,Kankan,huile,GNF/L,12455.0
2021-01-17,Kankan,huile,GNF/L,12214.0
2021-01-24,Kankan,huile,GNF/L,12471.0
2021-01-31,Kankan,huile,GNF/L,12558.0
2021-02-07,Kankan,huile,GNF/L,12558.0
2021-02-14,Kankan,huile,GNF/L,12749.0
2021-02-21,Kankan,huile,GNF/L,12252.0
2021-02-28,Kankan,huile,GNF/L,12779.0
2021-03-07,Kankan,huile,GNF/L,12277.0
2021-03-14,Kankan,huile,GNF/L,12800.0
2021-03-21,Kankan,huile,GNF/L,13013.0
2021-03-28,Kankan,huile,GNF/L,13172.0
2021-04-04,Kankan,huile,GNF/L,13342.0
2021-04-11,Kankan,huile,GNF/L,13079.0
2021-04-18,Kankan,huile,GNF/L,13038.0
2021-04-25,Kankan,huile,GNF/L,13610.0
2021-05-02,Kankan,huile,GNF/L,13439.0
2021-05-09,Kankan,huile,GNF/L,13607.0
2021-05-16,Kankan,huile,GNF/L,13736.0
2021-05-23,Kankan,huile,GNF/L,13256.0
2021-05-30,Kankan,huile,GNF/L,13695.0
2021-06-06,Kankan,huile,GNF/L,13751.0
2021-06-13,Kankan,huile,GNF/L,13962.0
2021-06-20,Kankan,huile,GNF/L,13494.0
2021-06-27,Kankan,huile,GNF/L,14301.0
2021-07-04,Kankan,huile,GNF/L,13664.0
2021-07-11,Kankan,huile,GNF/L,13606.0
2021-07-18,Kankan,huile,GNF/L,13964.0
2021-07-25,Kankan,huile,GNF/L,13732.0
2021-08-01,Kankan,huile,GNF/L,13798.0
2021-08-08,Kankan,huile,GNF/L,14422.0
2021-08-15,Kankan,huile,GNF/L,13918.0
2021-08-22,Kankan,huile,GNF/L,14017.0
2021-08-29,Kankan,huile,GNF/L,13437.0
2021-09-05,Kankan,huile,GNF/L,13965.0
2021-09-12,Kankan,huile,GNF/L,13783.0
2021-09-19,Kankan,huile,GNF/L,13480.0
2021-09-26,Kankan,huile,GNF/L,14035.0
2021-10-03,Kankan,huile,GNF/L,13451.0
2021-10-10,Kankan,huile,GNF/L,13429.0
2021-10-17,Kankan,huile,GNF/L,13212.0
2021-10-24,Kankan,huile,GNF/L,12884.0
2021-10-31,Kankan,huile,GNF/L,13079.0
2021-11-07,Kankan,huile,GNF/L,13396.0
2021-11-14,Kankan,huile,GNF/L,12497.0
2021-11-21,Kankan,huile,GNF/L,13097.0
2021-11-28,Kankan,huile,GNF/L,12835.0
2021-12-05,Kankan,huile,GNF/L,13642.0
2021-12-12,Kankan,huile,GNF/L,13466.0
2021-12-19,Kankan,huile,GNF/L,13493.0
2021-12-26,Kankan,huile,GNF/L,13899.0
2022-01-02,Kankan,huile,GNF/L,13565.0
2022-01-09,Kankan,huile,GNF/L,13966.0
2022-01-16,Kankan,huile,GNF/L,
2022-01-23,Kankan,huile,GNF/L,
2022-01-30,Kankan,huile,GNF/L,13829.0
2022-02-06,Kankan,huile,GNF/L,13915.0
2022-02-13,Kankan,huile,GNF/L,13964.0
2022-02-20,Kankan,huile,GNF/L,14249.0
2022-02-27,Kankan,huile,GNF/L,14453.0
2022-03-06,Kankan,huile,GNF/L,15020.0
2022-03-13,Kankan,huile,GNF/L,15223.0
2022-03-20,Kankan,huile,GNF/L,15470.0
2022-03-27,Kankan,huile,GNF/L,15378.0
2022-04-03,Kankan,huile,GNF/L,15383.0
2022-04-10,Kankan,huile,GNF/L,15749.0
2022-04-17,Kankan,huile,GNF/L,16249.0
2022-04-24,Kankan,huile,GNF/L,16513.0
2022-05-01,Kankan,huile,GNF/L,
2022-05-08,Kankan,huile,GNF/L,16721.0
2022-05-15,Kankan,huile,GNF/L,16555.0
2022-05-22,Kankan,huile,GNF/L,17441.0
2022-05-29,Kankan,huile,GNF/L,17272.0
2022-06-05,Kankan,huile,GNF/L,17436.0
